# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
899e64220000	mov dword ptr [esi + 2264h], ebx
c645fc11	mov byte ptr [ebp - 4], 11h
8986280e0000	mov dword ptr [esi + 0E28h], eax
6a0c	push 0Ch
c645fc12	mov byte ptr [ebp - 4], 12h
89869c230000	mov dword ptr [esi + 239Ch], eax
899e9c230000	mov dword ptr [esi + 239Ch], ebx
8bbea0230000	mov edi, dword ptr [esi + 23A0h]
c745fc0f000000	mov dword ptr [ebp - 4], 0Fh
8b8e8c230000	mov ecx, dword ptr [esi + 238Ch]
8b869c230000	mov eax, dword ptr [esi + 239Ch]
8b8e280e0000	mov ecx, dword ptr [esi + 0E28h]
c7869c23000000000000	mov dword ptr [esi + 239Ch], 0
8d4e2c	lea ecx, [esi + 2Ch]
83ec38	sub esp, 38h
8b06	mov eax, dword ptr [esi]
ff5028	call dword ptr [eax + 28h]
8b9684020000	mov edx, dword ptr [esi + 284h]
8d4dc8	lea ecx, [ebp - 38h]
8b4214	mov eax, dword ptr [edx + 14h]
8d55c8	lea edx, [ebp - 38h]
8b8684020000	mov eax, dword ptr [esi + 284h]
8b4814	mov ecx, dword ptr [eax + 14h]
8d45c8	lea eax, [ebp - 38h]
8b8e84020000	mov ecx, dword ptr [esi + 284h]
8b5114	mov edx, dword ptr [ecx + 14h]
dfe0	fnstsw ax
f6c401	test ah, 1
8d8684180000	lea eax, [esi + 1884h]
8955f4	mov dword ptr [ebp - 0Ch], edx
d945f4	fld dword ptr [ebp - 0Ch]
8b5104	mov edx, dword ptr [ecx + 4]
d95de8	fstp dword ptr [ebp - 18h]
8b4908	mov ecx, dword ptr [ecx + 8]
8955f8	mov dword ptr [ebp - 8], edx
d945f8	fld dword ptr [ebp - 8]
d95dec	fstp dword ptr [ebp - 14h]
8b55e8	mov edx, dword ptr [ebp - 18h]
894804	mov dword ptr [eax + 4], ecx
d95df0	fstp dword ptr [ebp - 10h]
8b55f0	mov edx, dword ptr [ebp - 10h]
895008	mov dword ptr [eax + 8], edx
8bd9	mov ebx, ecx
8b13	mov edx, dword ptr [ebx]
ff5228	call dword ptr [edx + 28h]
6a1c	push 1Ch
8983a0230000	mov dword ptr [ebx + 23A0h], eax
c783a023000000000000	mov dword ptr [ebx + 23A0h], 0
c645f000	mov byte ptr [ebp - 10h], 0
c645f001	mov byte ptr [ebp - 10h], 1
8b5508	mov edx, dword ptr [ebp + 8]
bf01000000	mov edi, 1
8d732c	lea esi, [ebx + 2Ch]
8b8be4000000	mov ecx, dword ptr [ebx + 0E4h]
